subject,predicate,object
Abbott_Handerson_Thayer,type,owl#Thing
Abbott_Handerson_Thayer,type,Person
Abbott_Handerson_Thayer,type,Person
Abbott_Handerson_Thayer,type,Person
Abbott_Handerson_Thayer,type,DUL.owl#NaturalPerson
Abbott_Handerson_Thayer,type,Q19088
Abbott_Handerson_Thayer,type,Q215627
Abbott_Handerson_Thayer,type,Q483501
Abbott_Handerson_Thayer,type,Q5
Abbott_Handerson_Thayer,type,Q729
Abbott_Handerson_Thayer,type,Animal
Abbott_Handerson_Thayer,type,Animal
Abbott_Handerson_Thayer,type,Artist
Abbott_Handerson_Thayer,type,Artist
Abbott_Handerson_Thayer,type,Artist
Abbott_Handerson_Thayer,type,Eukaryote
Abbott_Handerson_Thayer,type,Eukaryote
Abbott_Handerson_Thayer,type,Species
Abbott_Handerson_Thayer,type,Species
Abbott_Handerson_Thayer,type,Person
Abbott_Handerson_Thayer,type,Artist
Abbott_Handerson_Thayer,sameAs,55043769
Abbott_Handerson_Thayer,sameAs,m.07h4l5
Abbott_Handerson_Thayer,sameAs,122983343
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,Q306759
Abbott_Handerson_Thayer,sameAs,Abbott_Thayer
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,אבוט_אנדרסון_תאייר
Abbott_Handerson_Thayer,sameAs,アボット・ハンダーソン・セイヤー
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,"Тейер,_Эббот_Хэндерсон"
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,Abbott_Handerson_Thayer
Abbott_Handerson_Thayer,sameAs,p070329001
Abbott_Handerson_Thayer,sameAs,ابوت_هانديرسون_ثاير
Abbott_Handerson_Thayer,sameAs,Еббот_Хендерсон_Теєр
Abbott_Handerson_Thayer,sameAs,2r4ea
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,アボット・ハンダーソン・セイヤー
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Abbott Handerson Thayer
Abbott_Handerson_Thayer,label,Еббот Хендерсон Теєр
Abbott_Handerson_Thayer,label,"Тейер, Эббот Хэндерсон"
Abbott_Handerson_Thayer,deathPlace,"Dublin,_New_Hampshire"
Abbott_Handerson_Thayer,deathPlace,"Dublin, New Hampshire, US"
Abbott_Handerson_Thayer,deathDate,1921-05-29
Abbott_Handerson_Thayer,birthPlace,Boston
Abbott_Handerson_Thayer,birthPlace,"Boston, Massachusetts, US"
Abbott_Handerson_Thayer,birthDate,1849-08-12
Abbott_Handerson_Thayer,subject,Category:Members_of_the_American_Academy_of_Arts_and_Letters
Abbott_Handerson_Thayer,subject,"Category:People_from_Keene,_New_Hampshire"
Abbott_Handerson_Thayer,subject,Category:American_alumni_of_the_École_des_Beaux-Arts
Abbott_Handerson_Thayer,subject,Category:American_landscape_painters
Abbott_Handerson_Thayer,subject,Category:1921_deaths
Abbott_Handerson_Thayer,subject,Category:1849_births
Abbott_Handerson_Thayer,subject,Category:Camoufleurs
Abbott_Handerson_Thayer,subject,Category:American_male_painters
Abbott_Handerson_Thayer,subject,Category:People_with_bipolar_disorder
Abbott_Handerson_Thayer,subject,Category:19th-century_American_male_artists
Abbott_Handerson_Thayer,subject,Category:20th-century_American_male_artists
Abbott_Handerson_Thayer,subject,Category:Chapel_Hill_–_Chauncy_Hall_School_alumni
Abbott_Handerson_Thayer,subject,"Category:People_from_Dublin,_New_Hampshire"
Abbott_Handerson_Thayer,subject,Category:Thayer_family
Abbott_Handerson_Thayer,subject,Category:19th-century_American_painters
Abbott_Handerson_Thayer,subject,Category:20th-century_American_painters
Abbott_Handerson_Thayer,subject,Category:Yale_family
Abbott_Handerson_Thayer,subject,Category:Painters_from_Boston
Abbott_Handerson_Thayer,wikiPageWikiLink,Birds_of_America_(book)
Abbott_Handerson_Thayer,wikiPageWikiLink,William_James
Abbott_Handerson_Thayer,wikiPageWikiLink,"St_Ives,_Cornwall"
Abbott_Handerson_Thayer,wikiPageWikiLink,Norman_Wilkinson_(artist)
Abbott_Handerson_Thayer,wikiPageWikiLink,Boston
Abbott_Handerson_Thayer,wikiPageWikiLink,New_Hampshire
Abbott_Handerson_Thayer,wikiPageWikiLink,New_York_City
Abbott_Handerson_Thayer,wikiPageWikiLink,Robert_Louis_Stevenson
Abbott_Handerson_Thayer,wikiPageWikiLink,"Washington,_D.C."
Abbott_Handerson_Thayer,wikiPageWikiLink,World_War_I
Abbott_Handerson_Thayer,wikiPageWikiLink,Jean-Léon_Gérôme
Abbott_Handerson_Thayer,wikiPageWikiLink,Brooklyn
Abbott_Handerson_Thayer,wikiPageWikiLink,Mark_Twain
Abbott_Handerson_Thayer,wikiPageWikiLink,Mimesis
Abbott_Handerson_Thayer,wikiPageWikiLink,Painting
Abbott_Handerson_Thayer,wikiPageWikiLink,Spanish–American_War
Abbott_Handerson_Thayer,wikiPageWikiLink,Yale_University
Abbott_Handerson_Thayer,wikiPageWikiLink,"Wellesley,_Massachusetts"
Abbott_Handerson_Thayer,wikiPageWikiLink,École_des_Beaux-Arts
Abbott_Handerson_Thayer,wikiPageWikiLink,Portrait
Abbott_Handerson_Thayer,wikiPageWikiLink,Khaki
Abbott_Handerson_Thayer,wikiPageWikiLink,Archives_of_American_Art
Abbott_Handerson_Thayer,wikiPageWikiLink,Barry_Faulkner
Abbott_Handerson_Thayer,wikiPageWikiLink,"Category:People_from_Keene,_New_Hampshire"
Abbott_Handerson_Thayer,wikiPageWikiLink,Bipolar_disorder
Abbott_Handerson_Thayer,wikiPageWikiLink,Stroke
Abbott_Handerson_Thayer,wikiPageWikiLink,Theodore_Roosevelt
Abbott_Handerson_Thayer,wikiPageWikiLink,Henry_James
Abbott_Handerson_Thayer,wikiPageWikiLink,"Keene,_New_Hampshire"
Abbott_Handerson_Thayer,wikiPageWikiLink,Rockwell_Kent
Abbott_Handerson_Thayer,wikiPageWikiLink,Alfred_Russel_Wallace
Abbott_Handerson_Thayer,wikiPageWikiLink,George_de_Forest_Brush
Abbott_Handerson_Thayer,wikiPageWikiLink,Lemuel_Wilmarth
