subject,predicate,object
Eastman_Johnson,type,owl#Thing
Eastman_Johnson,type,Person
Eastman_Johnson,type,Person
Eastman_Johnson,type,Person
Eastman_Johnson,type,DUL.owl#NaturalPerson
Eastman_Johnson,type,Q19088
Eastman_Johnson,type,Q215627
Eastman_Johnson,type,Q483501
Eastman_Johnson,type,Q5
Eastman_Johnson,type,Q729
Eastman_Johnson,type,Animal
Eastman_Johnson,type,Animal
Eastman_Johnson,type,Artist
Eastman_Johnson,type,Artist
Eastman_Johnson,type,Artist
Eastman_Johnson,type,Eukaryote
Eastman_Johnson,type,Eukaryote
Eastman_Johnson,type,Species
Eastman_Johnson,type,Species
Eastman_Johnson,type,Person
Eastman_Johnson,type,Artist
Eastman_Johnson,sameAs,Q1278282
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,Jonathan_Eastman_Johnson
Eastman_Johnson,sameAs,איסטמן_ג'ונסון
Eastman_Johnson,sameAs,イーストマン・ジョンソン
Eastman_Johnson,sameAs,"Джонсон,_Истмен"
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,Істмен_Джонсан
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,p167762680
Eastman_Johnson,sameAs,إيستمان_جونسون
Eastman_Johnson,sameAs,ایستمن_جانسون
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,Істмен_Джонсон
Eastman_Johnson,sameAs,JLiL
Eastman_Johnson,sameAs,m.03bf3z
Eastman_Johnson,sameAs,Eastman_Johnson
Eastman_Johnson,sameAs,22945442
Eastman_Johnson,sameAs,119175975
Eastman_Johnson,name,Eastman Johnson
Eastman_Johnson,label,Eastman Johnson
Eastman_Johnson,label,إيستمان جونسون
Eastman_Johnson,label,Eastman Johnson
Eastman_Johnson,label,Eastman Johnson
Eastman_Johnson,label,Jonathan Eastman Johnson
Eastman_Johnson,label,Eastman Johnson
Eastman_Johnson,label,イーストマン・ジョンソン
Eastman_Johnson,label,Eastman Johnson
Eastman_Johnson,label,Eastman Johnson
Eastman_Johnson,label,"Джонсон, Истмен"
Eastman_Johnson,label,Eastman Johnson
Eastman_Johnson,label,Істмен Джонсон
Eastman_Johnson,deathPlace,New_York_City
Eastman_Johnson,deathPlace,New_York_City
Eastman_Johnson,deathDate,1906-04-05
Eastman_Johnson,birthPlace,"Lovell,_Maine"
Eastman_Johnson,birthPlace,"Lovell,_Maine"
Eastman_Johnson,birthDate,1824-07-29
Eastman_Johnson,subject,Category:Artists_from_Wisconsin
Eastman_Johnson,subject,Category:Düsseldorf_school_of_painting
Eastman_Johnson,subject,Category:1906_deaths
Eastman_Johnson,subject,Category:1824_births
Eastman_Johnson,subject,Category:Burials_at_Green-Wood_Cemetery
Eastman_Johnson,subject,Category:American_male_painters
Eastman_Johnson,subject,Category:19th-century_American_male_artists
Eastman_Johnson,subject,Category:20th-century_American_male_artists
Eastman_Johnson,subject,"Category:People_from_Augusta,_Maine"
Eastman_Johnson,subject,"Category:People_from_Lovell,_Maine"
Eastman_Johnson,subject,Category:19th-century_American_painters
Eastman_Johnson,subject,Category:20th-century_American_painters
Eastman_Johnson,subject,"Category:People_from_Fryeburg,_Maine"
Eastman_Johnson,wikiPageWikiLink,Brooklyn_Museum
Eastman_Johnson,wikiPageWikiLink,Emancipation_Proclamation
Eastman_Johnson,wikiPageWikiLink,Alfred_Wilkinson_Johnson
Eastman_Johnson,wikiPageWikiLink,The_Lord_is_My_Shepherd_(Eastman_Johnson)
Eastman_Johnson,wikiPageWikiLink,Abraham_Lincoln
Eastman_Johnson,wikiPageWikiLink,Boston
Eastman_Johnson,wikiPageWikiLink,Lake_Superior
Eastman_Johnson,wikiPageWikiLink,New_York_City
Eastman_Johnson,wikiPageWikiLink,United_States
Eastman_Johnson,wikiPageWikiLink,"Washington,_D.C."
Eastman_Johnson,wikiPageWikiLink,Wisconsin
Eastman_Johnson,wikiPageWikiLink,Detroit_Institute_of_Arts
Eastman_Johnson,wikiPageWikiLink,Ojibwe
Eastman_Johnson,wikiPageWikiLink,Photorealism
Eastman_Johnson,wikiPageWikiLink,"Augusta,_Maine"
Eastman_Johnson,wikiPageWikiLink,"Duluth,_Minnesota"
Eastman_Johnson,wikiPageWikiLink,Green-Wood_Cemetery
Eastman_Johnson,wikiPageWikiLink,Painting
Eastman_Johnson,wikiPageWikiLink,Saint_Louis_River_(Lake_Superior_tributary)
Eastman_Johnson,wikiPageWikiLink,"Superior,_Wisconsin"
Eastman_Johnson,wikiPageWikiLink,The_Hague
Eastman_Johnson,wikiPageWikiLink,Anishinaabe
Eastman_Johnson,wikiPageWikiLink,John_Quincy_Adams
Eastman_Johnson,wikiPageWikiLink,Kunstakademie_Düsseldorf
Eastman_Johnson,wikiPageWikiLink,Harper_(publisher)
Eastman_Johnson,wikiPageWikiLink,Chester_A._Arthur
Eastman_Johnson,wikiPageWikiLink,Princeton_University_Art_Museum
Eastman_Johnson,wikiPageWikiLink,"Fryeburg,_Maine"
Eastman_Johnson,wikiPageWikiLink,Isle_Royale_National_Park
Eastman_Johnson,wikiPageWikiLink,Grover_Cleveland
Eastman_Johnson,wikiPageWikiLink,Metropolitan_Museum_of_Art
Eastman_Johnson,wikiPageWikiLink,National_Academy_of_Design
Eastman_Johnson,wikiPageWikiLink,"St._Louis_County,_Minnesota"
Eastman_Johnson,wikiPageWikiLink,Seth_Low
Eastman_Johnson,wikiPageWikiLink,Benjamin_Harrison
Eastman_Johnson,wikiPageWikiLink,Ralph_Waldo_Emerson
Eastman_Johnson,wikiPageWikiLink,Second_Battle_of_Bull_Run
Eastman_Johnson,wikiPageWikiLink,Stephen_Foster
Eastman_Johnson,wikiPageWikiLink,Jean-François_Millet
Eastman_Johnson,wikiPageWikiLink,The_Gleaners
Eastman_Johnson,wikiPageWikiLink,Thomas_Couture
Eastman_Johnson,wikiPageWikiLink,Henry_Wadsworth_Longfellow
Eastman_Johnson,wikiPageWikiLink,Genre_painting
Eastman_Johnson,wikiPageWikiLink,"Lovell,_Maine"
Eastman_Johnson,wikiPageWikiLink,Roscoe_Conkling
Eastman_Johnson,wikiPageWikiLink,Smithsonian_American_Art_Museum
Eastman_Johnson,wikiPageWikiLink,John_Howard_Van_Amringe
Eastman_Johnson,wikiPageWikiLink,The_Old_Stagecoach
Eastman_Johnson,wikiPageWikiLink,The_Hatch_Family
Eastman_Johnson,wikiPageWikiLink,John_Fairfield
Eastman_Johnson,wikiPageWikiLink,Nathaniel_Hawthorne
Eastman_Johnson,wikiPageWikiLink,Negro_Life_at_the_South
Eastman_Johnson,wikiPageWikiLink,Category:Artists_from_Wisconsin
Eastman_Johnson,wikiPageWikiLink,Jay_Gould
Eastman_Johnson,wikiPageWikiLink,Milwaukee_Art_Museum
Eastman_Johnson,wikiPageWikiLink,Grand_Portage_National_Monument
Eastman_Johnson,wikiPageWikiLink,A_Ride_for_Liberty_–_The_Fugitive_Slaves
Eastman_Johnson,wikiPageWikiLink,My_Old_Kentucky_Home
Eastman_Johnson,wikiPageWikiLink,Worthington_Whittredge
Eastman_Johnson,wikiPageWikiLink,Dolly_Madison
Eastman_Johnson,wikiPageWikiLink,John_Call_Dalton
Eastman_Johnson,wikiPageWikiLink,Category:1906_deaths
Eastman_Johnson,wikiPageWikiLink,Category:1824_births
Eastman_Johnson,wikiPageWikiLink,Category:Burials_at_Green-Wood_Cemetery
Eastman_Johnson,wikiPageWikiLink,Category:American_male_painters
Eastman_Johnson,wikiPageWikiLink,Alfred_R._Conkling
Eastman_Johnson,wikiPageWikiLink,Category:19th-century_American_male_artists
Eastman_Johnson,wikiPageWikiLink,Category:20th-century_American_male_artists
Eastman_Johnson,wikiPageWikiLink,File:A_Ride_for_Liberty_--_The_Fugitive_Slaves_(recto)_Eastman_Johnson.jpg
Eastman_Johnson,wikiPageWikiLink,"Category:People_from_Augusta,_Maine"
Eastman_Johnson,wikiPageWikiLink,"Category:People_from_Lovell,_Maine"
Eastman_Johnson,wikiPageWikiLink,Category:19th-century_American_painters
Eastman_Johnson,wikiPageWikiLink,Category:20th-century_American_painters
Eastman_Johnson,wikiPageWikiLink,"Category:People_from_Fryeburg,_Maine"
Eastman_Johnson,wikiPageWikiLink,"Brooklyn,_New_York"
Eastman_Johnson,wikiPageWikiLink,"Cincinnati,_Ohio"
Eastman_Johnson,wikiPageWikiLink,Düsseldorf_school_of_painting
Eastman_Johnson,wikiPageWikiLink,Mixed-race
Eastman_Johnson,wikiPageWikiLink,The_Walters_Art_Museum
Eastman_Johnson,wikiPageWikiLink,Catskills
Eastman_Johnson,wikiPageWikiLink,Union_League_Club_of_New_York
Eastman_Johnson,wikiPageWikiLink,James_Polk
Eastman_Johnson,wikiPageWikiLink,Frederick_Augustus_Porter_Barnard
Eastman_Johnson,wikiPageWikiLink,Albright-Knox_Art_Gallery
Eastman_Johnson,wikiPageWikiLink,Emanuel_Gottlieb_Leutze
Eastman_Johnson,wikiPageWikiLink,Stephen_Bonga
Eastman_Johnson,wikiPageWikiLink,Philip_Carrigan_Johnson
Eastman_Johnson,wikiPageWikiLink,Apostle_Islands_National_Monument
Eastman_Johnson,wikiPageWikiLink,Carl_Gawboy
Eastman_Johnson,wikiPageWikiLink,File:Eastman_Johnson_-_Kay_be_sen_day_way_We_Win_-_ejb_-_fig_101_-_pg_225.jpg
Eastman_Johnson,wikiPageWikiLink,File:Eastman_Johnson_-_Longfellow_Hawthorne_Emerson_-_ebj_-_figs_3_4_5_pg14.jpg
Eastman_Johnson,wikiPageWikiLink,File:Eastman_Johnson_-_Ojibwe_Wigwam_at_Grand_Portage_-_ebj_-_fig_22_pg_41.jpg
Eastman_Johnson,wikiPageWikiLink,"File:Eastman_Johnson_-_The_Cranberry_Harvest,_Island_of_Nantucket_-_ejb_-_figs_59_60_-_pg_102-3.jpg"
Eastman_Johnson,wikiPageWikiLink,File:Eastman_Johnson_by_Edwin_S._Bennett.jpg
Eastman_Johnson,wikiPageWikiLink,File:Eastman_Johnson_portrait_of_brother_Philip_Carrigan_Johnson_Jr_(1876).jpg
Eastman_Johnson,wikiPageWikiLink,File:Eastman_Johnson_-_Negro_Life_at_the_South_-_ejb_-_fig_67_-_pg_120.jpg
Eastman_Johnson,wikiPageExternalLink,16
Eastman_Johnson,wikiPageExternalLink,
Eastman_Johnson,wikiPageExternalLink,eastman-johnson-letters-9806%7Ctitle=Eastman
Eastman_Johnson,description,Amerikaans kunstschilder
Eastman_Johnson,description,pintor Merikano
Eastman_Johnson,description,אמן אמריקאי
Eastman_Johnson,description,Usana artisto
Eastman_Johnson,description,artist american
Eastman_Johnson,description,artista estadounidense
Eastman_Johnson,description,artista estatunidenc
Eastman_Johnson,description,artiste american
Eastman_Johnson,description,usona artisto
Eastman_Johnson,description,فنان أمريكي
Eastman_Johnson,description,মার্কিন শিল্পী
Eastman_Johnson,description,Ameerika Ühendriikide kunstnik
Eastman_Johnson,description,US-amerikanischer Maler
Eastman_Johnson,description,artist amerikan
Eastman_Johnson,description,artista estadounidense
Eastman_Johnson,description,ealaíontóir Meiriceánach
Eastman_Johnson,description,peintre américain
Eastman_Johnson,description,pittore statunitense
Eastman_Johnson,description,американский художник
Eastman_Johnson,description,نقاش آمریکایی
Eastman_Johnson,description,livour stadunanat
Eastman_Johnson,description,margolari estatubatuarra
Eastman_Johnson,description,pintor norte-americano
Eastman_Johnson,description,malarz amerykański
Eastman_Johnson,description,アメリカの画家
Eastman_Johnson,description,American artist (1824-1906)
Eastman_Johnson,description,Amerikalı sanatçı (1824 – 1906)
Eastman_Johnson,description,pintor estauxunidense (1824–1906)
Eastman_Johnson,name,Eastman Johnson
Eastman_Johnson,depiction,"Eastman_Johnson,_The_Lord_is_My_Shepherd.jpg"
Eastman_Johnson,depiction,Eastman_Johnson_-_Negro_Life_at_the_South_-_ejb_-_fig_67_-_pg_120.jpg
Eastman_Johnson,depiction,Benjamin_Harrison_by_Eastman_Johnson.png
Eastman_Johnson,depiction,Eastman_Johnson_-_Kay_be_sen_day_way_We_Win_-_ejb_-_fig_101_-_pg_225.jpg
Eastman_Johnson,depiction,Eastman_Johnson_-_Ojibwe_Wigwam_at_Grand_Portage_-_ebj_-_fig_22_pg_41.jpg
Eastman_Johnson,depiction,"1880,_Johnson,_Eastman,_Study_for_A_Glass_with_the_Squire.jpg"
Eastman_Johnson,depiction,A_Ride_for_Liberty_--_The_Fugitive_Slaves_(recto)_Eastman_Johnson.jpg
Eastman_Johnson,depiction,Brooklyn_Museum_-_Self_Portrait_-_Eastman_Johnson_-_overall.jpg
Eastman_Johnson,depiction,Chester_Alan_Arthur_by_Eastman_Johnson.png
Eastman_Johnson,depiction,Eastman_Johnson_-_Longfellow_Hawthorne_Emerson_-_ebj_-_figs_3_4_5_pg14.jpg
Eastman_Johnson,depiction,Eastman_Johnson_-_Not_at_Home_-_Google_Art_Project.jpg
Eastman_Johnson,depiction,Eastman_Johnson_-_Portrait_of_a_Child_-_Google_Art_Project.jpg
Eastman_Johnson,depiction,"Eastman_Johnson_-_The_Cranberry_Harvest,_Island_of_Nantucket_-_ejb_-_figs_59_60_-_pg_102-3.jpg"
Eastman_Johnson,depiction,Eastman_Johnson_-_The_Nantucket_School_of_Philosophy_-_Walters_37311.jpg
Eastman_Johnson,depiction,Eastman_Johnson_by_Edwin_S._Bennett.jpg
Eastman_Johnson,depiction,Eastman_Johnson_portrait_of_brother_Philip_Carrigan_Johnson_Jr_(1876).jpg
Eastman_Johnson,depiction,"Eastman_Johnson_self-portrait,_1863.jpg"
Eastman_Johnson,depiction,Frederick_Augustus_Porter_Barnard_by_Eastman_Johnson.png
Eastman_Johnson,depiction,Jay_Gould_by_Eastman_Johnson.jpg
Eastman_Johnson,depiction,John_Howard_Van_Amringe_by_Eastman_Johnson.png
Eastman_Johnson,depiction,Joseph_Wesley_Harper_by_Eastman_Johnson.png
Eastman_Johnson,depiction,MD_John_Call_Dalton_by_Eastman_Johnson.png
Eastman_Johnson,depiction,Mr._Johnson_Painting_the_Portrait_of_President_Benjamin_Harrison.jpg
Eastman_Johnson,depiction,Old_stagecoach_eastman_johnson.jpg
Eastman_Johnson,depiction,Ruth_Eastman_Johnson.jpeg
Eastman_Johnson,depiction,Seth_Low_by_Eastman_Johnson.png
Eastman_Johnson,depiction,Stephen_Grover_Cleveland_by_Eastman_Johnson.png
Eastman_Johnson,depiction,The_Girl_I_Left_Behind_Me.jpg
Eastman_Johnson,depiction,The_Hatch_Family_MET_DT85.jpg
Eastman_Johnson,depiction,The_Young_Sweep_Eastman_Johnson_1863.jpeg
Eastman_Johnson,imageSize,250
Eastman_Johnson,field,Painting
Eastman_Johnson,nationality,United_States
Eastman_Johnson,thumbnail,"Eastman_Johnson_self-portrait,_1863.jpg?width=300"
Eastman_Johnson,wikiPageUsesTemplate,Template:Cite_book
Eastman_Johnson,wikiPageUsesTemplate,Template:Authority_control
Eastman_Johnson,wikiPageUsesTemplate,Template:Birth_date
Eastman_Johnson,wikiPageUsesTemplate,Template:Citation_needed
Eastman_Johnson,wikiPageUsesTemplate,Template:Cite_Appletons'
Eastman_Johnson,wikiPageUsesTemplate,Template:Cite_Collier's
Eastman_Johnson,wikiPageUsesTemplate,Template:Cite_web
Eastman_Johnson,wikiPageUsesTemplate,Template:Death_date_and_age
Eastman_Johnson,wikiPageUsesTemplate,Template:EB1911_poster
Eastman_Johnson,wikiPageUsesTemplate,Template:Infobox_artist
Eastman_Johnson,wikiPageUsesTemplate,Template:Page_needed
Eastman_Johnson,wikiPageUsesTemplate,Template:Reflist
Eastman_Johnson,wikiPageUsesTemplate,Template:Sfn
Eastman_Johnson,wikiPageUsesTemplate,Template:Short_description
Eastman_Johnson,wikiPageUsesTemplate,Template:Use_mdy_dates
Eastman_Johnson,wikiPageUsesTemplate,Template:Commons_category
Eastman_Johnson,wikiPageUsesTemplate,Template:Eastman_Johnson
Eastman_Johnson,birthDate,1824-07-29
Eastman_Johnson,deathDate,1906-04-05
Eastman_Johnson,nationality,United_States
Eastman_Johnson,wasDerivedFrom,Eastman_Johnson?oldid=1312130704&ns=0
Eastman_Johnson,field,Painting
Eastman_Johnson,caption,"Self-portrait of Eastman Johnson, 1863"
Eastman_Johnson,hypernym,Painter
Eastman_Johnson,isPrimaryTopicOf,Eastman_Johnson
Eastman_Johnson,sameAs,22945442
