subject,predicate,object
Fedir_Krychevsky,type,owl#Thing
Fedir_Krychevsky,type,Person
Fedir_Krychevsky,type,Person
Fedir_Krychevsky,type,Person
Fedir_Krychevsky,type,Person
Fedir_Krychevsky,type,DUL.owl#NaturalPerson
Fedir_Krychevsky,type,Q19088
Fedir_Krychevsky,type,Q215627
Fedir_Krychevsky,type,Q5
Fedir_Krychevsky,type,Q729
Fedir_Krychevsky,type,Animal
Fedir_Krychevsky,type,Animal
Fedir_Krychevsky,type,Eukaryote
Fedir_Krychevsky,type,Eukaryote
Fedir_Krychevsky,type,Species
Fedir_Krychevsky,type,Species
Fedir_Krychevsky,type,Person
Fedir_Krychevsky,sameAs,Fedir_Krychevsky
Fedir_Krychevsky,sameAs,m.0414_7c
Fedir_Krychevsky,sameAs,72716069
Fedir_Krychevsky,sameAs,Q4241419
Fedir_Krychevsky,sameAs,Fedir_Krytschewskyj
Fedir_Krychevsky,sameAs,Fedir_Krychevsky
Fedir_Krychevsky,sameAs,Fédir_Krytchevsky
Fedir_Krychevsky,sameAs,フェディル・クリチェヴスキー
Fedir_Krychevsky,sameAs,Fedir_Krychevsky
Fedir_Krychevsky,sameAs,"Кричевский,_Фёдор_Григорьевич"
Fedir_Krychevsky,sameAs,Φεντίρ_Κριτσέφσκι
Fedir_Krychevsky,sameAs,1162714050
Fedir_Krychevsky,sameAs,فدیر_کریچفسکی
Fedir_Krychevsky,sameAs,Кричевський_Федір_Григорович
Fedir_Krychevsky,sameAs,3vma6
Fedir_Krychevsky,name,Fedir Krychevsky
Fedir_Krychevsky,label,Fedir Krychevsky
Fedir_Krychevsky,label,Φεντίρ Κριτσέφσκι
Fedir_Krychevsky,label,Fedir Krytschewskyj
Fedir_Krychevsky,label,Fedir Krychevsky
Fedir_Krychevsky,label,Fédir Krytchevsky
Fedir_Krychevsky,label,フェディル・クリチェヴスキー
Fedir_Krychevsky,label,Fedir Krychevsky
Fedir_Krychevsky,label,Кричевський Федір Григорович
Fedir_Krychevsky,label,"Кричевский, Фёдор Григорьевич"
Fedir_Krychevsky,deathPlace,Irpin
Fedir_Krychevsky,deathPlace,Soviet_Union
Fedir_Krychevsky,deathPlace,Ukrainian_Soviet_Socialist_Republic
Fedir_Krychevsky,deathPlace,"Irpin, Ukrainian SSR, Soviet Union"
Fedir_Krychevsky,deathDate,1947-07-30
Fedir_Krychevsky,birthPlace,Russian_Empire
Fedir_Krychevsky,birthPlace,Kharkov_Governorate
Fedir_Krychevsky,birthPlace,Lebedyn
Fedir_Krychevsky,birthPlace,"Lebedyn, Kharkov Governorate, Russian Empire"
Fedir_Krychevsky,subject,Category:1947_deaths
Fedir_Krychevsky,subject,Category:1879_births
Fedir_Krychevsky,subject,"Category:Moscow_School_of_Painting,_Sculpture_and_Architecture_alumni"
Fedir_Krychevsky,subject,Category:Symbolist_painters
Fedir_Krychevsky,subject,Category:People_from_Kharkov_Governorate
Fedir_Krychevsky,subject,Category:Jewish_painters
Fedir_Krychevsky,subject,Category:Art_Nouveau_painters
Fedir_Krychevsky,subject,Category:20th-century_Ukrainian_male_artists
Fedir_Krychevsky,subject,Category:19th-century_Ukrainian_male_artists
Fedir_Krychevsky,subject,Category:Soviet_rehabilitations
Fedir_Krychevsky,subject,Category:Imperial_Academy_of_Arts_alumni
Fedir_Krychevsky,subject,Category:Ukrainian_Jews
Fedir_Krychevsky,subject,Category:19th-century_Ukrainian_painters
Fedir_Krychevsky,subject,Category:20th-century_Ukrainian_painters
Fedir_Krychevsky,subject,Category:People_from_Lebedyn
Fedir_Krychevsky,subject,Category:Ukrainian_male_painters
Fedir_Krychevsky,subject,Category:Academic_staff_of_the_National_Academy_of_Visual_Arts_and_Architecture
Fedir_Krychevsky,wikiPageWikiLink,Category:1947_deaths
Fedir_Krychevsky,wikiPageWikiLink,Irpin
Fedir_Krychevsky,wikiPageWikiLink,Boris_Kriukow
Fedir_Krychevsky,wikiPageWikiLink,Category:1879_births
Fedir_Krychevsky,wikiPageWikiLink,Ukraine
Fedir_Krychevsky,wikiPageWikiLink,World_War_II
Fedir_Krychevsky,wikiPageWikiLink,Kiev
Fedir_Krychevsky,wikiPageWikiLink,Königsberg
Fedir_Krychevsky,wikiPageWikiLink,Painting
Fedir_Krychevsky,wikiPageWikiLink,Red_Army
Fedir_Krychevsky,wikiPageWikiLink,Russian_Empire
Fedir_Krychevsky,wikiPageWikiLink,Soviet_Union
Fedir_Krychevsky,wikiPageWikiLink,Western_Europe
Fedir_Krychevsky,wikiPageWikiLink,Rector_(academia)
Fedir_Krychevsky,wikiPageWikiLink,Icon
Fedir_Krychevsky,wikiPageWikiLink,Gustav_Klimt
Fedir_Krychevsky,wikiPageWikiLink,Adolph_Menzel
Fedir_Krychevsky,wikiPageWikiLink,Vasyl_Krychevsky
Fedir_Krychevsky,wikiPageWikiLink,Art_Nouveau
Fedir_Krychevsky,wikiPageWikiLink,Kharkov_Governorate
Fedir_Krychevsky,wikiPageWikiLink,Babi_Yar
Fedir_Krychevsky,wikiPageWikiLink,"Moscow_School_of_Painting,_Sculpture_and_Architecture"
Fedir_Krychevsky,wikiPageWikiLink,Composition_(visual_arts)
Fedir_Krychevsky,wikiPageWikiLink,Ferdinand_Hodler
Fedir_Krychevsky,wikiPageWikiLink,Exile
Fedir_Krychevsky,wikiPageWikiLink,Rehabilitation_(Soviet)
Fedir_Krychevsky,wikiPageWikiLink,Lebedyn
Fedir_Krychevsky,wikiPageWikiLink,NKVD
Fedir_Krychevsky,wikiPageWikiLink,"Category:Moscow_School_of_Painting,_Sculpture_and_Architecture_alumni"
Fedir_Krychevsky,wikiPageWikiLink,Category:Symbolist_painters
Fedir_Krychevsky,wikiPageWikiLink,Category:People_from_Kharkov_Governorate
Fedir_Krychevsky,wikiPageWikiLink,Category:Jewish_painters
Fedir_Krychevsky,wikiPageWikiLink,Category:Art_Nouveau_painters
Fedir_Krychevsky,wikiPageWikiLink,Category:20th-century_Ukrainian_male_artists
Fedir_Krychevsky,wikiPageWikiLink,Category:19th-century_Ukrainian_male_artists
Fedir_Krychevsky,wikiPageWikiLink,Saint_Petersburg_Academy_of_Arts
Fedir_Krychevsky,wikiPageWikiLink,Secessionist
Fedir_Krychevsky,wikiPageWikiLink,Category:Soviet_rehabilitations
Fedir_Krychevsky,wikiPageWikiLink,Category:Imperial_Academy_of_Arts_alumni
Fedir_Krychevsky,wikiPageWikiLink,Category:Ukrainian_Jews
Fedir_Krychevsky,wikiPageWikiLink,Category:19th-century_Ukrainian_painters
Fedir_Krychevsky,wikiPageWikiLink,Category:20th-century_Ukrainian_painters
Fedir_Krychevsky,wikiPageWikiLink,Category:People_from_Lebedyn
Fedir_Krychevsky,wikiPageWikiLink,Category:Ukrainian_male_painters
Fedir_Krychevsky,wikiPageWikiLink,Ukrainian_SSR
Fedir_Krychevsky,wikiPageWikiLink,Jew
Fedir_Krychevsky,wikiPageWikiLink,Painters
Fedir_Krychevsky,wikiPageWikiLink,Socialist_Realism
Fedir_Krychevsky,wikiPageWikiLink,Drawings
Fedir_Krychevsky,wikiPageWikiLink,Portraits
Fedir_Krychevsky,wikiPageWikiLink,Kiev_Oblast
