subject,predicate,object
Lasar_Segall,type,owl#Thing
Lasar_Segall,type,Person
Lasar_Segall,type,Person
Lasar_Segall,type,Person
Lasar_Segall,type,DUL.owl#NaturalPerson
Lasar_Segall,type,Q19088
Lasar_Segall,type,Q215627
Lasar_Segall,type,Q483501
Lasar_Segall,type,Q5
Lasar_Segall,type,Q729
Lasar_Segall,type,Animal
Lasar_Segall,type,Animal
Lasar_Segall,type,Artist
Lasar_Segall,type,Artist
Lasar_Segall,type,Artist
Lasar_Segall,type,Eukaryote
Lasar_Segall,type,Eukaryote
Lasar_Segall,type,Species
Lasar_Segall,type,Species
Lasar_Segall,type,Person
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,m.08b9hy
Lasar_Segall,sameAs,96207085
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,118760564
Lasar_Segall,sameAs,Q692098
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,לזאר_סגל
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,"Сегал,_Лазарь"
Lasar_Segall,sameAs,127499105
Lasar_Segall,sameAs,p089848101
Lasar_Segall,sameAs,لاسار_سيجال
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,Lasar_Segall
Lasar_Segall,sameAs,4rmeN
Lasar_Segall,name,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,Lasar Segall
Lasar_Segall,label,"Сегал, Лазарь"
Lasar_Segall,deathPlace,Brazil
Lasar_Segall,deathPlace,São_Paulo
Lasar_Segall,deathPlace,Brazil
Lasar_Segall,deathPlace,São_Paulo
Lasar_Segall,deathDate,1957-08-02
Lasar_Segall,birthPlace,Vilnius
Lasar_Segall,birthPlace,Russian_Empire
Lasar_Segall,birthPlace,Vilnius
Lasar_Segall,birthPlace,Russian_Empire
Lasar_Segall,birthDate,1891-07-21
Lasar_Segall,subject,Category:Lithuanian_Jews
Lasar_Segall,subject,Category:1957_deaths
Lasar_Segall,subject,Category:1891_births
Lasar_Segall,subject,Category:Lithuanian_emigrants_to_Brazil
Lasar_Segall,subject,Category:Male_painters
Lasar_Segall,subject,Category:20th-century_Brazilian_sculptors
Lasar_Segall,subject,Category:Jewish_painters
Lasar_Segall,subject,Category:20th-century_Brazilian_male_artists
Lasar_Segall,subject,Category:20th-century_Brazilian_painters
Lasar_Segall,subject,Category:20th-century_Lithuanian_painters
Lasar_Segall,subject,Category:20th-century_Lithuanian_sculptors
Lasar_Segall,subject,Category:Prussian_Academy_of_Arts_alumni
Lasar_Segall,subject,Category:Artists_in_the_Degenerate_Art_exhibition
Lasar_Segall,subject,Category:Lithuanian_male_sculptors
Lasar_Segall,subject,Category:Artists_from_Vilnius
Lasar_Segall,subject,Category:Brazilian_male_sculptors
Lasar_Segall,subject,Category:20th-century_Brazilian_engravers
Lasar_Segall,subject,Category:Brazilian_male_painters
Lasar_Segall,subject,Category:20th-century_Brazilian_lithographers
Lasar_Segall,subject,Category:20th-century_Lithuanian_lithographers
Lasar_Segall,wikiPageWikiLink,Tarsila_do_Amaral
Lasar_Segall,wikiPageWikiLink,Category:Lithuanian_Jews
Lasar_Segall,wikiPageWikiLink,Brazil
Lasar_Segall,wikiPageWikiLink,Dresden
Lasar_Segall,wikiPageWikiLink,Düsseldorf
Lasar_Segall,wikiPageWikiLink,Frankfurt
Lasar_Segall,wikiPageWikiLink,Munich
Lasar_Segall,wikiPageWikiLink,Pittsburgh
Lasar_Segall,wikiPageWikiLink,São_Paulo
Lasar_Segall,wikiPageWikiLink,Vilnius
Lasar_Segall,wikiPageWikiLink,Museu_Lasar_Segall
Lasar_Segall,wikiPageWikiLink,Cubism
Lasar_Segall,wikiPageWikiLink,Fascism
Lasar_Segall,wikiPageWikiLink,Hagen
Lasar_Segall,wikiPageWikiLink,Impressionism
Lasar_Segall,wikiPageWikiLink,Modernism
Lasar_Segall,wikiPageWikiLink,Rio_de_Janeiro
Lasar_Segall,wikiPageWikiLink,Russian_Empire
Lasar_Segall,wikiPageWikiLink,Galerie_Nierendorf
Lasar_Segall,wikiPageWikiLink,Avant-garde
Lasar_Segall,wikiPageWikiLink,Expressionism
Lasar_Segall,wikiPageWikiLink,School_of_Paris
Lasar_Segall,wikiPageWikiLink,Nazi
Lasar_Segall,wikiPageWikiLink,Carnegie_Museums_of_Pittsburgh
Lasar_Segall,wikiPageWikiLink,Emiliano_Di_Cavalcanti
Lasar_Segall,wikiPageWikiLink,Engraving
Lasar_Segall,wikiPageWikiLink,Museum_Folkwang
Lasar_Segall,wikiPageWikiLink,Prussian_Academy_of_Arts
Lasar_Segall,wikiPageWikiLink,Red-light_district
Lasar_Segall,wikiPageWikiLink,Prostitution
Lasar_Segall,wikiPageWikiLink,Dresden_Academy_of_Fine_Arts
Lasar_Segall,wikiPageWikiLink,Otto_Dix
Lasar_Segall,wikiPageWikiLink,Anita_Malfatti
Lasar_Segall,wikiPageWikiLink,Spectacle
Lasar_Segall,wikiPageWikiLink,Otto_Lange
Lasar_Segall,wikiPageWikiLink,Ismael_Nery
Lasar_Segall,wikiPageWikiLink,Victor_Brecheret
Lasar_Segall,wikiPageWikiLink,Alberto_da_Veiga_Guignard
Lasar_Segall,wikiPageWikiLink,Suffering
Lasar_Segall,wikiPageWikiLink,Gurlitt
Lasar_Segall,wikiPageWikiLink,Conrad_Felixmüller
Lasar_Segall,wikiPageWikiLink,Candido_Portinari
Lasar_Segall,wikiPageWikiLink,Fascist
Lasar_Segall,wikiPageWikiLink,Persecution
Lasar_Segall,wikiPageWikiLink,Associated_American_Artists
Lasar_Segall,wikiPageWikiLink,Category:1957_deaths
Lasar_Segall,wikiPageWikiLink,Category:1891_births
Lasar_Segall,wikiPageWikiLink,Category:Lithuanian_emigrants_to_Brazil
Lasar_Segall,wikiPageWikiLink,Category:Male_painters
Lasar_Segall,wikiPageWikiLink,Category:Male_sculptors
Lasar_Segall,wikiPageWikiLink,Category:Jewish_painters
Lasar_Segall,wikiPageWikiLink,Category:20th-century_Brazilian_male_artists
Lasar_Segall,wikiPageWikiLink,Category:20th-century_Brazilian_painters
Lasar_Segall,wikiPageWikiLink,Category:20th-century_Lithuanian_painters
Lasar_Segall,wikiPageWikiLink,Category:Prussian_Academy_of_Arts_alumni
Lasar_Segall,wikiPageWikiLink,Prostitutes
Lasar_Segall,wikiPageWikiLink,Category:Artists_from_Vilnius
Lasar_Segall,wikiPageWikiLink,Dresden_Art_Academy
Lasar_Segall,wikiPageWikiLink,Expressionist
Lasar_Segall,wikiPageWikiLink,Modernist
Lasar_Segall,wikiPageWikiLink,Non-profit
Lasar_Segall,wikiPageWikiLink,Tribal
Lasar_Segall,wikiPageWikiLink,Lithuanian_Jews
Lasar_Segall,wikiPageWikiLink,Semana_de_Arte_Moderna
Lasar_Segall,wikiPageWikiLink,Emigrant
Lasar_Segall,wikiPageWikiLink,"São_Paulo,_São_Paulo"
Lasar_Segall,wikiPageWikiLink,Avant_garde
Lasar_Segall,wikiPageWikiLink,Impressionist
Lasar_Segall,wikiPageWikiLink,Cubist
