era5_event_id,cnn_similarity_score,cnn_likelihood,cnn_prior,cnn_bayesian_score
FF_2018_000118_LAO,0.8097646,0.12122383,1.1079198,0.13430628
FF_2016_000093_LAO,0.7439728,0.051948193,1.0171382,0.052838493
FL_2022_000292_LAO,0.6593579,0.015531456,0.90004784,0.013979053
FL_2019_000103_LAO,0.65372133,0.014253666,0.94817245,0.013514933
FL_2013_000101_LAO,0.63644373,0.01090436,1.028595,0.011216169
FL_2008_000054_THA,0.6350196,0.010662801,1.0051433,0.0107176425
FL_2002_000614_LAO,0.6089831,0.0070153996,0.9388466,0.006586384
FL_2000_000583_LAO,0.5633458,0.0032192192,0.8965888,0.0028863158
FL_2020_000213_LAO,0.46874607,0.00051212544,0.855379,0.00043806134
FL_2002_000641_THA,0.45846707,0.00041028103,0.8805742,0.0003612829
FL_1997_000295_COD,0.43134207,0.00022295547,1.0099723,0.00022517885
FF_2014_000015_ZWE,0.4270683,0.00020182422,0.99632573,0.00020108267
FL_2010_000049_AGO,0.4149413,0.0001513097,1.0373266,0.00015695757
ST_2012_000064_COD,0.40640026,0.00012289658,0.9408423,0.0001156263
FL_2005_000051_AGO,0.3780559,5.96431e-05,1.2159379,7.25223e-05
FL_2019_000104_THA,0.38130176,6.49663e-05,0.9365815,6.0846232e-05
FL_2005_000139_SLE,0.38122866,6.484185e-05,0.90114546,5.843194e-05
FL_2004_000068_ROM,0.37333053,5.2593867e-05,1.0173228,5.350494e-05
FL_2010_000046_MOZ,0.3747611,5.464433e-05,0.9530009,5.2076095e-05
FL_2009_000007_ZWE,0.36393267,4.075777e-05,1.2341189,5.029994e-05
FL_2003_000037_MDG,0.3779599,5.949183e-05,0.8173623,4.862638e-05
FL_2006_000047_COD,0.3734154,5.2713563e-05,0.8044205,4.240387e-05
FL_2005_000169_FJI,0.36192894,3.856853e-05,1.0993786,4.2401418e-05
FL_2007_000132_BFA,0.36135072,3.7956765e-05,0.98934317,3.7552265e-05
FL_2005_000110_BIH,0.35964578,3.620343e-05,0.93885887,3.3989912e-05
FL_2022_000376_COD,0.3602382,3.6804217e-05,0.8787944,3.2343338e-05
FL_2009_000268_AGO,0.34508196,2.3945422e-05,1.0902361,2.6106163e-05
FL_2000_000002_AGO,0.34662843,2.504043e-05,1.0213292,2.5574522e-05
FL_2021_000095_MMR,0.3523026,2.9454972e-05,0.7756319,2.2846216e-05
FL_2022_000333_THA,0.3465724,2.4999983e-05,0.89931613,2.2482887e-05
FL_2005_000209_THA,0.34065795,2.104676e-05,1.0186863,2.1440046e-05
FL_2002_000607_ALB,0.33693156,1.885458e-05,1.0760417,2.0288315e-05
FL_2011_000190_AGO,0.331946,1.6243297e-05,1.2067723,1.9601961e-05
FL_2009_000266_ALB,0.3467797,2.5149926e-05,0.75668156,1.9030485e-05
FF_2022_000309_SLE,0.33852687,1.976658e-05,0.94583917,1.8696004e-05
FL_2001_000146_AGO,0.32772392,1.4291619e-05,1.1055357,1.5799895e-05
FL_2004_000116_CAF,0.3318578,1.6200198e-05,0.968065,1.5682845e-05
FL_2009_000265_MAR,0.3278998,1.4368509e-05,0.9080391,1.3047168e-05
FL_2010_000245_MAR,0.32670033,1.3851466e-05,0.9379498,1.299198e-05
FL_2021_000145_BEN,0.3252444,1.3246411e-05,0.9318955,1.23442705e-05
FL_2010_000152_THA,0.32010788,1.1297013e-05,0.91716826,1.0361262e-05
FL_2016_000137_ARG,0.32142773,1.1771544e-05,0.8106816,9.542974e-06
FL_2016_000124_COD,0.30976474,8.134294e-06,1.1470273,9.330257e-06
FL_2020_000237_LKA,0.3175077,1.0412207e-05,0.88817585,9.247871e-06
FL_2020_000019_MDG,0.31606492,9.948624e-06,0.9003532,8.957276e-06
FL_2011_000107_MMR,0.32081974,1.15507655e-05,0.7719877,8.917049e-06
FL_2005_000038_MDG,0.31306276,9.043032e-06,0.94498605,8.5455395e-06
FL_2011_000135_THA,0.3113233,8.552952e-06,0.9940827,8.502341e-06
FL_2019_000153_COD,0.30676046,7.378937e-06,1.1260219,8.308844e-06
FL_2007_000220_SRB,0.30606815,7.214088e-06,1.0676279,7.701961e-06
FL_2007_000022_ARG,0.31420743,9.379173e-06,0.80397713,7.5406406e-06
FF_2007_000083_IND,0.30825216,7.74571e-06,0.9571735,7.4139884e-06
FL_2018_000134_IND,0.31128,8.541071e-06,0.8616805,7.3596743e-06
FL_1999_000531_COD,0.3070161,7.4406616e-06,0.98083735,7.298079e-06
FL_2018_000004_COD,0.30044007,5.9920935e-06,1.2094611,7.247204e-06
FL_2001_000079_ROM,0.30775476,7.6216274e-06,0.93259764,7.1079116e-06
FL_2001_000095_HUN,0.30775476,7.6216274e-06,0.93259764,7.1079116e-06
FL_2001_000096_UKR,0.30775476,7.6216274e-06,0.93259764,7.1079116e-06
FL_2014_000159_MAR,0.30991673,8.174295e-06,0.85551894,6.993264e-06
ST_2011_000073_CAF,0.30533302,7.042676e-06,0.96249735,6.778557e-06
FL_2008_000243_PNG,0.30641,7.2950716e-06,0.9134135,6.663417e-06
FL_2000_000048_BWA,0.30200008,6.310598e-06,1.0271316,6.4818146e-06
FF_2008_000202_MAR,0.29773888,5.4746392e-06,1.1602039,6.351698e-06
FL_2012_000110_IND,0.30433434,6.815687e-06,0.9083701,6.191166e-06
FL_2019_000098_CAF,0.2985003,5.6162667e-06,1.0637088,5.9740723e-06
FL_2013_000028_NAM,0.29415768,4.8506727e-06,1.2280542,5.956889e-06
FL_2020_000176_SDN,0.30652887,7.3234173e-06,0.8040923,5.8887035e-06
FL_2007_000040_HTI,0.30113256,6.1316473e-06,0.9546326,5.85347e-06
FL_2016_000117_ALB,0.30766824,7.6002284e-06,0.757563,5.7576517e-06
FL_2009_000248_URY,0.3072232,7.4910054e-06,0.7613565,5.7033253e-06
