era5_event_id,cnn_similarity_score,cnn_likelihood,cnn_prior,cnn_bayesian_score
FF_2022_000309_SLE,0.7243685,0.03977367,0.94583917,0.037619494
FL_2019_000089_SLE,0.5788928,0.004226508,1.0064156,0.0042536235
FL_2005_000139_SLE,0.5833976,0.0045671635,0.90114546,0.004115679
FL_2022_000321_CAF,0.54269993,0.0022161426,0.9402243,0.002083671
FL_2007_000177_SLE,0.5311338,0.0017866486,0.9958434,0.0017792223
ST_2011_000073_CAF,0.47617295,0.0005993041,0.96249735,0.0005768286
FL_2017_000134_CAF,0.45672733,0.00039497533,1.1052461,0.00043654494
FL_2009_000183_NGA,0.45275694,0.00036195217,0.99515456,0.00036019835
FL_1997_000295_COD,0.4501932,0.000341971,1.0099723,0.00034538124
FL_2012_000138_NGA,0.44718692,0.00031980916,1.0457613,0.00033444405
FL_2005_000109_PRK,0.44373995,0.00029599565,1.0243633,0.00030320708
FL_2009_000186_TCD,0.44059068,0.00027564686,1.0251122,0.00028256894
FL_1998_000080_ARG,0.43995795,0.00027171377,1.0277863,0.00027926368
FL_2010_000152_THA,0.43818223,0.00026094422,0.91716826,0.00023932975
FL_2002_000376_RUS,0.43466753,0.00024075314,0.8978027,0.00021614882
FF_2014_000059_SRB,0.43088433,0.00022060076,0.9731564,0.00021467904
FL_2002_000522_KHM,0.42912686,0.00021176637,0.99701285,0.0002111338
FF_2009_000107_THA,0.4263482,0.00019844696,0.8892001,0.00017645906
FL_2013_000083_THA,0.42254508,0.00018143891,0.9636208,0.00017483831
FL_2002_000641_THA,0.42558867,0.00019493981,0.8805742,0.00017165898
FL_2013_000112_CAF,0.40241796,0.00011137136,1.0773013,0.000119980505
FL_1999_000265_TCD,0.40655288,0.00012335888,0.95849025,0.00011823829
FL_2013_000116_NGA,0.40632534,0.0001226702,0.94750106,0.00011623015
FL_2021_000123_CAF,0.39760983,9.875774e-05,1.1221387,0.000110819885
FL_2003_000037_MDG,0.40654886,0.00012334668,0.8173623,0.00010081892
FL_2005_000153_THA,0.39298883,8.78622e-05,0.9010399,7.916735e-05
FL_2007_000132_BFA,0.3889625,7.926426e-05,0.98934317,7.841955e-05
FL_2015_000053_CAF,0.38658547,7.455132e-05,1.0203326,7.606714e-05
FL_2019_000098_CAF,0.38471645,7.10244e-05,1.0637088,7.554927e-05
FL_2012_000106_BGD,0.3814885,6.528517e-05,0.8638356,5.639565e-05
FL_2015_000131_SLE,0.3756022,5.5883178e-05,0.9969715,5.5713936e-05
FL_2010_000049_AGO,0.37181458,5.0496834e-05,1.0373266,5.2381707e-05
FL_2010_000120_BRA,0.36572933,4.2815194e-05,1.1915169,5.1015028e-05
FL_2007_000158_TGO,0.36940473,4.73178e-05,1.0405042,4.923437e-05
FL_2002_000607_ALB,0.36590415,4.3020296e-05,1.0760417,4.6291632e-05
FL_2021_000145_BEN,0.36603534,4.3174787e-05,0.9318955,4.023439e-05
FL_2009_000087_VUT,0.3660757,4.3222408e-05,0.9281134,4.0115297e-05
FL_2005_000129_SDN,0.37107438,4.950051e-05,0.8087722,4.0034636e-05
FL_2005_000150_NGA,0.36182112,3.8453785e-05,1.0125613,3.8936814e-05
FL_2008_000158_PAN,0.36422583,4.108729e-05,0.9032334,3.711141e-05
FL_2006_000151_PAN,0.3631408,3.987956e-05,0.8913112,3.55451e-05
FL_2005_000038_MDG,0.3609196,3.7506332e-05,0.94498605,3.544296e-05
FL_2007_000174_CAF,0.3552791,3.204029e-05,1.0879915,3.4859564e-05
FL_2020_000154_CIV,0.36122313,3.7822963e-05,0.8812828,3.3332726e-05
FL_2018_000028_BWA,0.35579723,3.251065e-05,0.9907342,3.2209413e-05
FL_2022_000292_LAO,0.35763583,3.423026e-05,0.90004784,3.080887e-05
FF_2013_000091_SDN,0.3587527,3.5314395e-05,0.8372304,2.9566285e-05
FL_2018_000140_MLI,0.34446,2.3517336e-05,1.087024,2.5563908e-05
ST_2015_000041_PRY,0.34929657,2.7036049e-05,0.867431,2.3451907e-05
FL_2013_000013_BWA,0.34350842,2.2875674e-05,0.9272107,2.121057e-05
FL_2020_000212_KHM,0.33835763,1.9667978e-05,1.0479498,2.0611053e-05
FL_2005_000051_AGO,0.33002746,1.532854e-05,1.2159379,1.8638551e-05
FL_2007_000153_GHA,0.34197277,2.1873348e-05,0.8293104,1.8139795e-05
FL_2019_000103_LAO,0.33724603,1.90313e-05,0.94817245,1.8044955e-05
FL_2008_000038_ARG,0.33805308,1.9491665e-05,0.9231435,1.7993603e-05
FL_2019_000104_THA,0.33411485,1.7336355e-05,0.9365815,1.6236909e-05
FL_2009_000120_BWA,0.33205748,1.6297936e-05,0.9861709,1.607255e-05
FL_2007_000141_NGA,0.33415776,1.7358636e-05,0.9242004,1.6042859e-05
FL_2003_000455_NGA,0.33596194,1.8318959e-05,0.8705386,1.594736e-05
FF_2016_000093_LAO,0.32966113,1.515924e-05,1.0171382,1.5419044e-05
FL_2007_000151_TCD,0.3356889,1.8170616e-05,0.84078753,1.5277628e-05
FL_2001_000146_AGO,0.3251747,1.32180485e-05,1.1055357,1.4613025e-05
FL_2009_000266_ALB,0.3369169,1.8846376e-05,0.75668156,1.4260706e-05
FL_2006_000123_SDN,0.32932156,1.5003814e-05,0.94127035,1.4122646e-05
FL_2018_000120_NGA,0.32489088,1.3103136e-05,1.0708522,1.40315215e-05
FL_2001_000450_THA,0.32653207,1.378029e-05,0.982369,1.3537329e-05
FL_2005_000137_CAF,0.32011092,1.1298085e-05,1.0931063,1.2350008e-05
FL_2003_000368_SDN,0.33107972,1.5824347e-05,0.7739832,1.2247779e-05
FL_2022_000276_GMB,0.32411665,1.2794208e-05,0.9115523,1.166259e-05
FL_2020_000161_BGD,0.32322565,1.2446812e-05,0.8802037,1.095573e-05
FL_2009_000127_BEN,0.32398552,1.2742539e-05,0.8563633,1.0912243e-05
FL_2009_000165_CHL,0.3125621,8.899452e-06,1.159997,1.0323338e-05
FL_2013_000011_ZWE,0.3114811,8.596405e-06,1.1684577,1.0044536e-05
FL_2001_000521_TCD,0.31809932,1.06078505e-05,0.94110596,9.983111e-06
FL_2006_000130_KHM,0.31249785,8.881174e-06,1.0445652,9.276965e-06
FF_2018_000118_LAO,0.30754083,7.568815e-06,1.1079198,8.38564e-06
FL_2007_000130_CIV,0.30786243,7.648336e-06,1.0619783,8.122367e-06
FL_2011_000102_BRA,0.3062904,7.2666408e-06,1.1105275,8.069805e-06
FL_2011_000190_AGO,0.3032166,6.569462e-06,1.2067723,7.927845e-06
FL_2016_000080_BFA,0.311105,8.493175e-06,0.92950785,7.894473e-06
FF_2013_000100_RUS,0.3105576,8.34491e-06,0.942453,7.864686e-06
FL_2012_000003_BRA,0.30352956,6.6375824e-06,1.0968858,7.2806697e-06
FL_2010_000021_AFG,0.30491957,6.947891e-06,1.0005565,6.9517573e-06
FL_2011_000135_THA,0.30511165,6.9917814e-06,0.9940827,6.950409e-06
FL_2016_000089_SEN,0.30440223,6.8309064e-06,0.9681978,6.6136686e-06
FL_2009_000268_AGO,0.29915917,5.7414713e-06,1.0902361,6.259559e-06
FL_1999_000350_CRI,0.3005101,6.0060765e-06,1.0110258,6.072298e-06
FF_2011_000143_SSD,0.29517537,5.021127e-06,1.2020698,6.0357447e-06
FL_2009_000007_ZWE,0.29374856,4.7836284e-06,1.2341189,5.9035665e-06
FL_2009_000248_URY,0.30744037,7.544126e-06,0.7613565,5.743769e-06
FL_2015_000009_ALB,0.30514055,6.998409e-06,0.80787224,5.65382e-06
FF_2007_000080_BGD,0.30550218,7.0817905e-06,0.7823137,5.540182e-06
FL_2007_000129_PAK,0.30322236,6.5707086e-06,0.83807874,5.5067712e-06
