era5_event_id,cnn_similarity_score,cnn_likelihood,cnn_prior,cnn_bayesian_score
FL_2018_000060_LKA,0.8520639,0.2017073,0.828818,0.16717865
FL_2008_000051_LKA,0.8515953,0.20060071,0.7549613,0.15144578
FL_2003_000229_LKA,0.8076388,0.11807878,0.8598722,0.10153267
FL_1999_000161_LKA,0.8122835,0.12504789,0.7481682,0.09355685
FL_2017_000057_LKA,0.804955,0.11421314,0.8156903,0.093162544
LS_2015_000135_LKA,0.806106,0.11585676,0.75283194,0.08722067
FL_2008_000079_LKA,0.7936053,0.09909363,0.7734195,0.07664095
FL_2007_000052_LKA,0.78155625,0.08503592,0.78609407,0.06684623
FL_2014_000070_LKA,0.7846519,0.08846473,0.7469382,0.06607769
FL_2010_000196_LKA,0.77320385,0.07637304,0.8230391,0.062858
FL_2019_000171_LKA,0.7545577,0.05983079,0.82250226,0.04921096
LS_2022_000283_LKA,0.7410947,0.049973197,0.8693547,0.043444436
FF_2009_000160_LKA,0.72588265,0.040612914,0.77540636,0.03149151
FL_2010_000092_LKA,0.68791467,0.023732621,0.8488423,0.020145254
FL_2016_000050_LKA,0.6735234,0.019209987,0.76472735,0.014690402
FL_2020_000237_LKA,0.5992254,0.005969008,0.88817585,0.0053015286
FL_2000_000741_LKA,0.59726346,0.0057764286,0.773201,0.0044663404
FF_2008_000199_LKA,0.58760095,0.0049070995,0.8020625,0.0039358004
FL_2018_000425_LKA,0.5820972,0.004466372,0.82418966,0.0036811377
FL_2011_000176_LKA,0.56254315,0.0031736456,0.806451,0.0025593897
FL_2021_000057_LKA,0.5502403,0.0025440392,0.8433083,0.0021454094
FL_2014_000162_LKA,0.5404422,0.0021256548,0.7992548,0.0016989398
FF_2009_000246_LKA,0.53566766,0.0019451552,0.80693686,0.0015696174
FL_2006_000155_LKA,0.53023386,0.0017566069,0.76979613,0.0013522292
FL_2007_000228_LKA,0.50237525,0.0010239584,0.7669109,0.0007852849
FL_2005_000196_LKA,0.47830656,0.00062670535,0.906438,0.0005680695
FL_2020_000200_BFA,0.45789665,0.00040520486,0.9510621,0.00038537497
FF_2009_000107_THA,0.45890856,0.00041424908,0.8892001,0.00036835033
FL_2001_000332_IND,0.44308236,0.00029163834,0.9017205,0.00026297627
FL_2011_000107_MMR,0.44578212,0.00030990352,0.7719877,0.00023924171
FL_2015_000080_MMR,0.42994928,0.00021586005,0.8473781,0.00018291507
FL_2009_000172_BFA,0.424748,0.00019112322,0.9374597,0.00017917033
FF_2020_000158_SRB,0.4135518,0.0001463185,0.95050156,0.00013907597
FL_2010_000152_THA,0.41286343,0.00014390112,0.91716826,0.00013198155
FL_1999_000031_LKA,0.41420084,0.00014863112,0.8809681,0.00013093928
FL_2007_000151_TCD,0.4155931,0.00015370328,0.84078753,0.0001292318
FL_2021_000095_MMR,0.41823447,0.00016375637,0.7756319,0.00012701466
FL_2010_000012_EGY,0.40902662,0.00013107376,0.9297521,0.000121866105
FL_2021_000078_GTM,0.40652084,0.0001232617,0.89551735,0.000110383
FL_2015_000006_MWI,0.3973956,9.822695e-05,1.0330402,0.00010147238
FL_2013_000125_BFA,0.40337545,0.00011404982,0.8623751,9.8353725e-05
FL_2001_000450_THA,0.3957872,9.432299e-05,0.982369,9.265998e-05
FL_2016_000080_BFA,0.39151916,8.463114e-05,0.92950785,7.86653e-05
FL_2007_000132_BFA,0.38433397,7.032143e-05,0.98934317,6.957203e-05
FL_2012_000205_LKA,0.38648808,7.436371e-05,0.90653586,6.741337e-05
FL_2007_000023_IDN,0.3768494,5.7766814e-05,1.1489115,6.636896e-05
FL_2009_000226_PRY,0.38293594,6.780493e-05,0.94584394,6.413289e-05
FL_2001_000019_MOZ,0.3743798,5.4090902e-05,1.0429953,5.641656e-05
FL_1997_000142_CZE,0.37504557,5.506053e-05,1.0236871,5.6364755e-05
FL_2016_000089_SEN,0.37683403,5.7743247e-05,0.9681978,5.5906887e-05
FL_2013_000028_NAM,0.36758295,4.503535e-05,1.2280542,5.530585e-05
FL_2005_000153_THA,0.37743187,5.8665893e-05,0.9010399,5.2860312e-05
FL_2020_000154_CIV,0.3781659,5.9816866e-05,0.8812828,5.2715575e-05
FL_2011_000118_GTM,0.3766504,5.7462465e-05,0.8702339,5.0005783e-05
FL_2020_000195_CMR,0.36298168,3.9705166e-05,1.2090423,4.8005226e-05
FL_2010_000115_MMR,0.37292805,5.2029605e-05,0.8942148,4.6525645e-05
FL_2005_000081_CHN,0.37524354,5.535187e-05,0.83118075,4.6007408e-05
FL_1991_000010_PHL,0.36630517,4.3494118e-05,1.050417,4.5686957e-05
FL_1998_000165_CHN,0.36897933,4.6775716e-05,0.9735208,4.5537134e-05
FL_2010_000259_AUS,0.37068093,4.8978156e-05,0.8544154,4.1847692e-05
FL_1997_000207_SYC,0.36822528,4.5828536e-05,0.89674884,4.1096686e-05
FF_2007_000008_LKA,0.361009,3.7599348e-05,0.9557481,3.5935504e-05
FL_2017_000091_MMR,0.36848027,4.6146877e-05,0.7773403,3.5871828e-05
FL_2010_000136_YEM,0.35693294,3.3563425e-05,1.025799,3.442933e-05
FL_2009_000127_BEN,0.36337554,4.0138115e-05,0.8563633,3.437281e-05
FL_2006_000068_CHN,0.3706163,4.8892813e-05,0.69276685,3.3871318e-05
FL_2010_000139_SDN,0.35793874,3.452129e-05,0.946711,3.2681684e-05
FL_2006_000029_NAM,0.34924865,2.6998978e-05,1.1723533,3.165234e-05
FL_2019_000104_THA,0.3565535,3.3208325e-05,0.9365815,3.1102303e-05
FL_2015_000064_IND,0.3605748,3.7149577e-05,0.79790676,2.9641898e-05
FL_2022_000276_GMB,0.35537022,3.2122574e-05,0.9115523,2.9281407e-05
