era5_event_id,cnn_similarity_score,cnn_likelihood,cnn_prior,cnn_bayesian_score
FL_2019_000030_IRQ,0.6120571,0.0073776715,0.8888458,0.006557612
FL_2009_000203_USA,0.52182066,0.0014969688,0.9838989,0.0014728659
FL_2001_000571_PRK,0.52409124,0.0015633962,0.87738776,0.0013717047
FL_2012_000071_NPL,0.53245956,0.0018317503,0.7002282,0.0012826432
FF_2008_000178_DZA,0.48452377,0.0007131008,0.76485074,0.0005454157
FL_1998_000255_TUR,0.4626032,0.0004488347,0.95880497,0.00043034495
FL_2005_000063_SRB,0.4625668,0.0004484815,0.9258929,0.00041524583
FL_2006_000030_SRB,0.45730627,0.0004000106,1.0018575,0.00040075363
FL_2005_000168_NPL,0.46462628,0.00046885412,0.6813061,0.0003194332
FL_2006_000045_HUN,0.4556939,0.00038612876,0.77791274,0.00030037446
FF_2007_000081_NPL,0.45874023,0.00041273216,0.71442884,0.00029486776
FL_2006_000158_PRK,0.44573668,0.00030958772,0.9412839,0.00029140993
FL_2022_000378_BIH,0.43976045,0.0002704965,0.91510844,0.00024753364
FL_2007_000106_IDN,0.42501467,0.00019232655,1.0456324,0.00020110287
FL_2010_000160_NPL,0.44215292,0.00028557813,0.67487764,0.0001927303
FL_2022_000002_IRN,0.41619626,0.00015594868,1.0943216,0.00017065802
FL_2004_000036_MKD,0.41344726,0.00014594902,1.0687752,0.00015598668
FL_2004_000051_NPL,0.43037653,0.00021801471,0.6540297,0.0001425881
FL_1999_000240_SRB,0.4082705,0.00012867083,1.0200338,0.0001312486
FL_2015_000153_IRQ,0.41130736,0.0001385686,0.9319408,0.00012913774
FF_2011_000049_IRQ,0.40400136,0.000115831914,0.99793434,0.000115592644
FF_2020_000204_TUN,0.41224825,0.00014177128,0.81169283,0.00011507473
FL_2002_000242_AFG,0.40998974,0.00013419302,0.8371607,0.00011234112
FL_2017_000107_NPL,0.4141281,0.0001483703,0.66326934,9.8409466e-05
FL_2009_000242_IRQ,0.3954718,9.357403e-05,1.0499175,9.824501e-05
FL_2002_000376_RUS,0.40116143,0.00010794232,0.8978027,9.69109e-05
FL_2013_000081_PRK,0.39056176,8.258424e-05,1.0437049,8.619358e-05
FL_2012_000037_PSE,0.39317888,8.828803e-05,0.90530586,7.992767e-05
