era5_event_id,cnn_similarity_score,cnn_likelihood,cnn_prior,cnn_bayesian_score
FL_2022_000265_YEM,0.9013129,0.35379836,1.0750791,0.38036123
FF_2019_000054_YEM,0.7399319,0.049194597,1.1422937,0.056194678
FL_2021_000110_YEM,0.61824787,0.008158799,1.0518543,0.008581867
FL_2010_000240_VEN,0.58425474,0.0046347086,1.0505096,0.004868806
FL_2005_000070_YEM,0.5576785,0.0029096394,1.1646006,0.0033885678
FF_2020_000123_YEM,0.55959153,0.003011004,1.024308,0.0030841955
FL_2021_000043_YEM,0.5208911,0.0014705139,0.99539846,0.0014637472
FL_2008_000201_YEM,0.5069473,0.0011210577,1.1001676,0.0012333513
FL_2013_000103_YEM,0.48078573,0.00065995706,1.1663833,0.00076976285
FL_2009_000186_TCD,0.47799316,0.000622611,1.0251122,0.0006382461
FL_2009_000032_SLB,0.47623557,0.00060009264,0.98938084,0.0005937202
FL_1999_000548_YEM,0.4593773,0.00041849975,1.1413376,0.0004776495
FL_2001_000521_TCD,0.46378684,0.00046045185,0.94110596,0.00043333397
FL_2018_000419_PRY,0.45493805,0.00037977175,1.1144714,0.00042324478
FL_2012_000075_VEN,0.4623279,0.00044617066,0.93329877,0.00041641053
FL_2002_000445_VEN,0.45325735,0.0003659726,1.0984321,0.00040199605
FL_2021_000147_THA,0.4584397,0.00041003627,0.9140862,0.0003748085
FF_2006_000039_YEM,0.45482057,0.00037879217,0.97363997,0.0003688072
FL_1997_000299_PRY,0.43754485,0.00025717326,1.0116756,0.0002601759
FL_2011_000181_VEN,0.4368322,0.00025301505,0.93425673,0.00023638102
FL_1999_000547_VEN,0.43202877,0.00022653051,1.0115685,0.00022915113
FF_2016_000034_YEM,0.42872807,0.00020980663,1.0684917,0.00022417665
FL_2022_000286_MRT,0.43305632,0.00023197643,0.9100722,0.0002111153
FL_2015_000085_VEN,0.42756683,0.0002041926,0.9985374,0.00020389396
FL_2010_000176_MRT,0.42552924,0.0001946678,1.0222971,0.00019900833
FL_2020_000190_NER,0.41771364,0.00016172852,1.0346302,0.0001673292
FL_2007_000153_GHA,0.42382777,0.00018702258,0.8293104,0.00015509977
FL_2020_000192_TCD,0.41419387,0.00014860611,0.9044446,0.00013440599
FL_2007_000231_BOL,0.41562024,0.00015380373,0.84257853,0.00012959172
FL_2002_000296_PRY,0.4036219,0.00011474859,0.99445015,0.000114111754
FL_2015_000171_PRY,0.40696323,0.00012460967,0.87393427,0.000108900655
FL_2009_000172_BFA,0.40398592,0.000115787654,0.9374597,0.00010854626
FL_2002_000641_THA,0.4053769,0.00011983677,0.8805742,0.00010552517
FL_2016_000060_IND,0.39847004,0.00010091525,0.97984266,9.8881064e-05
FL_2001_000236_URY,0.39882946,0.000101829195,0.9396395,9.5682735e-05
FL_2016_000080_BFA,0.39873695,0.00010159325,0.92950785,9.443172e-05
FL_2007_000012_BOL,0.4009658,0.0001074171,0.8538374,9.1716734e-05
FL_2012_000005_BOL,0.40023676,0.0001054799,0.82377183,8.689137e-05
FL_2012_000172_MLI,0.39171147,8.5047766e-05,1.0092568,8.583504e-05
FL_2000_000130_BOL,0.3958906,9.456966e-05,0.8691305,8.219337e-05
FL_1998_000040_URY,0.3950696,9.262669e-05,0.86432457,8.005952e-05
FL_2008_000094_ZAF,0.38412178,6.993415e-05,1.1326314,7.920961e-05
