latitude,longitude,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,mean_sea_level_pressure,surface_pressure,total_precipitation_24hr,time,level,geopotential,specific_humidity,temperature,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,precipitation_mm_24h,event_id,region_label
-1.5,116.5,0.2472204,0.4027232,0.4725504,300.70392,101130.64,101039.91,0.0025332402,2005-04-26,1000,974.217,0.019545002,299.37485,0.19631696,0.6140031,-0.008420125,0.64462405,2.5332403,FF-2005-000067-IDN,center
-1.5,116.5,0.2472204,0.4027232,0.4725504,300.70392,101130.64,101039.91,0.0025332402,2005-04-26,850,14876.506,0.012531869,291.34985,-0.35027075,-1.045888,-0.1446178,1.1029829,2.5332403,FF-2005-000067-IDN,center
-1.5,116.5,0.2472204,0.4027232,0.4725504,300.70392,101130.64,101039.91,0.0025332402,2005-04-26,500,57690.02,0.0020324024,268.9134,-2.0963144,-0.32697734,-0.061445713,2.1216617,2.5332403,FF-2005-000067-IDN,center
-1.5,116.5,0.2472204,0.4027232,0.4725504,300.70392,101130.64,101039.91,0.0025332402,2005-04-26,250,107804.97,0.0001600183,233.23814,-1.450592,-1.1521931,-0.040682316,1.8525026,2.5332403,FF-2005-000067-IDN,center
-1.5,116.75,-0.292431,0.42492962,0.51583046,301.07712,101124.41,101140.27,0.0009151641,2005-04-26,1000,976.58356,0.018189104,300.03787,-0.30310172,0.54522467,-0.020234719,0.62381136,0.9151641,FF-2005-000067-IDN,center
-1.5,116.75,-0.292431,0.42492962,0.51583046,301.07712,101124.41,101140.27,0.0009151641,2005-04-26,850,14878.971,0.012278103,291.34366,-0.633932,-1.1743984,-0.08197975,1.3345716,0.9151641,FF-2005-000067-IDN,center
-1.5,116.75,-0.292431,0.42492962,0.51583046,301.07712,101124.41,101140.27,0.0009151641,2005-04-26,500,57693.938,0.0021668868,268.6821,-2.2362957,-0.3286545,-0.06370115,2.2603168,0.9151641,FF-2005-000067-IDN,center
-1.5,116.75,-0.292431,0.42492962,0.51583046,301.07712,101124.41,101140.27,0.0009151641,2005-04-26,250,107808.34,0.00014897987,233.26222,-1.2022991,-1.1569943,-0.050184727,1.6685799,0.9151641,FF-2005-000067-IDN,center
-1.5,117.0,-0.8425221,0.6998297,1.0952648,301.2691,101119.516,101044.16,0.0004921295,2005-04-26,1000,973.42804,0.017753866,300.56958,-0.91323674,0.7070563,-0.015338585,1.1549588,0.49212947,FF-2005-000067-IDN,center
-1.5,117.0,-0.8425221,0.6998297,1.0952648,301.2691,101119.516,101044.16,0.0004921295,2005-04-26,850,14878.842,0.012191445,291.33002,-0.7757627,-1.1731005,-0.00090169907,1.406404,0.49212947,FF-2005-000067-IDN,center
-1.5,117.0,-0.8425221,0.6998297,1.0952648,301.2691,101119.516,101044.16,0.0004921295,2005-04-26,500,57696.92,0.0021612477,268.5433,-2.3370829,-0.36890608,-0.035134792,2.3660195,0.49212947,FF-2005-000067-IDN,center
-1.5,117.0,-0.8425221,0.6998297,1.0952648,301.2691,101119.516,101044.16,0.0004921295,2005-04-26,250,107808.86,0.00013116056,233.30711,-1.2362537,-1.1017814,-0.0071983337,1.6559726,0.49212947,FF-2005-000067-IDN,center
-1.5,117.25,-1.2994591,0.9180651,1.5910492,301.10583,101120.87,101098.59,0.00037881546,2005-04-26,1000,970.93,0.01798661,300.63397,-1.3807945,0.91986483,9.4890594e-05,1.6591398,0.37881547,FF-2005-000067-IDN,center
-1.5,117.25,-1.2994591,0.9180651,1.5910492,301.10583,101120.87,101098.59,0.00037881546,2005-04-26,850,14881.177,0.012237725,291.26425,-0.60040843,-0.9615121,0.013147831,1.1335765,0.37881547,FF-2005-000067-IDN,center
-1.5,117.25,-1.2994591,0.9180651,1.5910492,301.10583,101120.87,101098.59,0.00037881546,2005-04-26,500,57700.465,0.0021318826,268.46927,-2.353881,-0.49133798,-0.033631325,2.404614,0.37881547,FF-2005-000067-IDN,center
-1.5,117.25,-1.2994591,0.9180651,1.5910492,301.10583,101120.87,101098.59,0.00037881546,2005-04-26,250,107809.9,0.00010818028,233.37663,-1.327507,-1.1185851,0.02176094,1.7359457,0.37881547,FF-2005-000067-IDN,center
-1.5,117.5,-1.3155202,0.84531987,1.5637004,301.44135,101119.18,101155.58,6.835535e-05,2005-04-26,1000,974.6114,0.018207967,300.58502,-1.433365,0.89478093,0.017550662,1.6897243,0.06835535,FF-2005-000067-IDN,center
-1.5,117.5,-1.3155202,0.84531987,1.5637004,301.44135,101119.18,101155.58,6.835535e-05,2005-04-26,850,14884.68,0.011763118,291.3635,-0.56301665,-0.85377073,0.02105093,1.0226985,0.06835535,FF-2005-000067-IDN,center
-1.5,117.5,-1.3155202,0.84531987,1.5637004,301.44135,101119.18,101155.58,6.835535e-05,2005-04-26,500,57702.703,0.0021651844,268.43228,-2.3034878,-0.6858873,-0.028745174,2.4034345,0.06835535,FF-2005-000067-IDN,center
-1.5,117.5,-1.3155202,0.84531987,1.5637004,301.44135,101119.18,101155.58,6.835535e-05,2005-04-26,250,107812.5,0.000102292426,233.43028,-1.2617207,-1.3802471,0.022891998,1.8700324,0.06835535,FF-2005-000067-IDN,center
-1.5,117.75,-1.2279874,0.7051898,1.416067,301.55975,101122.89,101091.79,3.019534e-05,2005-04-26,1000,973.8226,0.018053515,300.7408,-1.2501651,0.7119112,0.016805604,1.4386557,0.03019534,FF-2005-000067-IDN,center
-1.5,117.75,-1.2279874,0.7051898,1.416067,301.55975,101122.89,101091.79,3.019534e-05,2005-04-26,850,14886.756,0.011500967,291.562,-0.62361705,-0.9238672,-0.026952028,1.114643,0.03019534,FF-2005-000067-IDN,center
-1.5,117.75,-1.2279874,0.7051898,1.416067,301.55975,101122.89,101091.79,3.019534e-05,2005-04-26,500,57701.21,0.00227158,268.38986,-2.2600927,-0.9039167,-0.026113987,2.4341497,0.03019534,FF-2005-000067-IDN,center
-1.5,117.75,-1.2279874,0.7051898,1.416067,301.55975,101122.89,101091.79,3.019534e-05,2005-04-26,250,107812.76,0.000109000626,233.44287,-0.96673965,-1.9731874,0.0047926903,2.1972835,0.03019534,FF-2005-000067-IDN,center
-1.5,118.0,-1.0513158,0.39889455,1.1244473,301.70508,101121.37,101159.836,2.9157847e-05,2005-04-26,1000,978.2928,0.017942125,300.782,-1.1386522,0.4060495,0.0215953,1.2088859,0.029157847,FF-2005-000067-IDN,center
-1.5,118.0,-1.0513158,0.39889455,1.1244473,301.70508,101121.37,101159.836,2.9157847e-05,2005-04-26,850,14892.724,0.011158679,291.76547,-0.5655954,-0.7992511,-0.055636644,0.9791325,0.029157847,FF-2005-000067-IDN,center
-1.5,118.0,-1.0513158,0.39889455,1.1244473,301.70508,101121.37,101159.836,2.9157847e-05,2005-04-26,500,57705.312,0.0024552192,268.2935,-2.1663055,-1.0951117,-0.015589714,2.427375,0.029157847,FF-2005-000067-IDN,center
-1.5,118.0,-1.0513158,0.39889455,1.1244473,301.70508,101121.37,101159.836,2.9157847e-05,2005-04-26,250,107818.47,0.00012154477,233.43631,-0.27703857,-2.8181872,-0.0071983337,2.8317714,0.029157847,FF-2005-000067-IDN,center
-1.5,118.25,-0.8890991,0.07805014,0.8925184,301.732,101121.37,101129.22,1.9514933e-05,2005-04-26,1000,970.27264,0.017984118,300.82578,-0.88695157,0.05892074,0.010632217,0.8889065,0.019514933,FF-2005-000067-IDN,center
-1.5,118.25,-0.8890991,0.07805014,0.8925184,301.732,101121.37,101129.22,1.9514933e-05,2005-04-26,850,14891.167,0.011040338,291.90445,-0.47533953,-0.7642026,-0.07905269,0.89997405,0.019514933,FF-2005-000067-IDN,center
-1.5,118.25,-0.8890991,0.07805014,0.8925184,301.732,101121.37,101129.22,1.9514933e-05,2005-04-26,500,57701.957,0.0026456676,268.21793,-2.1845026,-1.1823235,-0.034007072,2.4839365,0.019514933,FF-2005-000067-IDN,center
